,ggoid_hex,ggoid_dec,tilenum,type,img,id,alpha_j2000,delta_j2000,E_bv,glon,glat,primary,fov_radius,nuv_flux,nuv_fluxerr,nuv_mag,nuv_magerr,fuv_flux,fuv_fluxerr,fuv_mag,fuv_magerr,fuv_ra_adj,fuv_dec_adj,fuv_ncat_mag,nuv_fcat_mag,fuv_ncat_magerr,nuv_fcat_magerr,cn_radius,cn_pa,cn_mag_nuv,cn_mag_fuv,nuv_int,fuv_int,nuv_poserr,fuv_poserr,ib_poserr
0,2a79820133d00001,3060620363450810369 ,21452,0,153,1,201.080431301,26.9026120603,0.0163473933935,33.040019989,82.6737747192,0,0.594539701939,63.8155899048,7.51446294785,19.3876819611,0.12787951529,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.6882209778,-999.0,1.28574442863,-999.0,29.7816352844,116.468490601,22.2010116577,-999.0,0.0256564449519,0.0,0.573976278305,-999.0,-999.0
1,2a79820133d00002,3060620363450810370 ,21452,0,153,2,201.026152098,26.8924885363,0.0153326662257,32.9361572266,82.7214355469,0,0.604329109192,6.0344581604,3.63893151283,21.9484024048,0.654885590076,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,19.3591594696,339.847320557,21.602432251,-999.0,0.0,0.0,0.697825014591,-999.0,-999.0
2,2a79820133d00003,3060620363450810371 ,21452,0,153,3,201.043630634,26.8931848891,0.0165502671152,32.9495811462,82.7059249878,0,0.603315711021,5.17130184174,3.33239555359,22.1159992218,0.69982022047,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,51.8792495728,72.3941650391,21.602432251,-999.0,0.109308280051,0.0,0.761186540127,-999.0,-999.0
3,2a79820133d00004,3060620363450810372 ,21452,0,153,4,201.062881351,26.89358297,0.0165502671152,32.9614295959,82.6888198853,0,0.60303157568,4.69576120377,3.32937526703,22.2207336426,0.769992649555,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,35.3681221008,302.919586182,22.2010116577,-999.0,0.0,0.0,0.878383398056,-999.0,-999.0
4,2a79820133d00005,3060620363450810373 ,21452,0,153,5,201.076901374,26.89411714,0.0163473933935,32.971950531,82.6763763428,0,0.602886676788,3.37942004204,2.77225327492,22.5778942108,0.890882730484,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,23.1151885986,41.5260658264,22.2010116577,-999.0,0.106867045164,0.0,0.688798904419,-999.0,-999.0
5,2a79820133d00006,3060620363450810374 ,21452,0,153,6,201.028226712,26.8975380506,0.0165502671152,32.9768676758,82.7199172974,0,0.599223315716,8.29901981354,3.4123711586,21.602432251,0.446538895369,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,19.3591594696,159.847305298,21.9484024048,-999.0,0.0,0.0,1.36158931255,-999.0,-999.0
6,2a79820133d00007,3060620363450810375 ,21452,0,153,7,201.107622812,26.8985863645,0.0157343614846,33.0206451416,82.6493225098,0,0.600186049938,9.5031414032,3.97447061539,21.4553318024,0.454194575548,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,32.4099693298,65.9075469971,21.3754367828,-999.0,0.0,0.0,1.17366397381,-999.0,-999.0
7,2a79820133d00008,3060620363450810376 ,21452,0,153,8,201.098407552,26.9022624982,0.0157343614846,33.0452461243,82.6577529907,0,0.595860362053,10.228805542,3.4135518074,21.3754367828,0.362419396639,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.0563831329,-999.0,0.72499781847,-999.0,32.4099693298,245.907562256,21.4553318024,-999.0,0.0277657266706,0.0,0.698140382767,-999.0,-999.0
8,2a79820133d00009,3060620363450810377 ,21452,0,153,9,201.072127584,26.8989239172,0.0163473933935,33.0074501038,82.6809310913,0,0.597921311855,4.78183746338,2.40585589409,22.2010116577,0.546392381191,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,23.1151885986,221.526077271,22.5778942108,-999.0,0.0650158748031,0.0,0.731545746326,-999.0,-999.0
9,2a79820133d0000a,3060620363450810378 ,21452,0,153,10,200.985831732,26.9009480553,0.0161016695201,32.9847106934,82.7578659058,0,0.598158419132,6.24626111984,2.77863931656,21.9109477997,0.483105331659,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,46.5787353516,60.2405509949,22.1517982483,-999.0,0.0,0.0,0.947781205177,-999.0,-999.0
10,2a79820133d0000b,3060620363450810379 ,21452,0,153,11,200.951079545,26.9029053119,0.0168281756341,32.9846191406,82.7889175415,0,0.599900364876,5.82609415054,3.04150223732,21.9865550995,0.566944420338,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,43.2944717407,59.6439971924,-999.0,21.397600174,0.0,0.0,0.760621190071,-999.0,-999.0
11,2a79820133d0000c,3060620363450810380 ,21452,0,153,12,200.892888251,26.9136766369,0.0180351287127,33.044631958,82.8413772583,0,0.599063932896,38.94688797,6.96484375,19.9238166809,0.194208592176,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,21.0641212463,-999.0,0.560519874096,-999.0,6.40686798096,351.760162354,-999.0,21.0725288391,0.0731428563595,0.0,0.567903399467,-999.0,-999.0
12,2a79820133d0000d,3060620363450810381 ,21452,0,153,13,200.917087368,26.9070515984,0.0169324483722,33.0024108887,82.8194274902,0,0.600950300694,6.61726999283,3.45660042763,21.8483009338,0.567283511162,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,27.9418449402,319.818023682,22.0129356384,-999.0,0.0415247380733,0.0,0.813135564327,-999.0,-999.0
13,2a79820133d0000e,3060620363450810382 ,21452,0,153,14,200.928735329,26.9066726481,0.0169324483722,33.0045967102,82.8090362549,0,0.599390804768,6.74833154678,3.17159533501,21.8270072937,0.510400593281,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,29.8832206726,40.3865013123,22.0129356384,-999.0,0.0,0.0,0.865090847015,-999.0,-999.0
14,2a79820133f0000f,3060620363452907535 ,21452,0,153,15,201.008569562,26.9128569724,0.0162910241634,33.0889434814,82.7383728027,0,0.584719181061,57.6311569214,5.71900892258,19.4983558655,0.107768855989,65.4638061523,14.8140249252,19.3600025177,0.24575458467,201.008176728,26.9127307856,19.3826198578,19.5863838196,0.189752534032,0.153321802616,31.8714103699,23.3164367676,21.6016635895,-999.0,0.0337463766336,0.0,0.602151632309,1.05126416683,0.898283421993
15,2a79820133d00010,3060620363450810384 ,21452,0,153,16,201.189558863,26.9066495879,0.0129587436095,33.1192398071,82.5769119263,0,0.602983295918,5.21781873703,3.31617164612,22.1062774658,0.690204620361,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,28.5928039551,6.10406541824,-999.0,21.5800819397,0.0,0.0,0.6925137043,-999.0,-999.0
16,2a79820133d00011,3060620363450810385 ,21452,0,153,17,200.973230078,26.9073606341,0.0161016695201,33.0298881531,82.7694854736,0,0.592938840389,5.0035700798,2.59443020821,22.1517982483,0.563108146191,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,99.0,-999.0,99.0,-999.0,37.7581825256,325.780487061,21.9983825684,-999.0,0.041098088026,0.0,1.13823652267,-999.0,-999.0
